label,force_N,acceleration_m_s2,sigma_force_N,sigma_acceleration_m_s2,ordinary_ratio_kg,extended_mass_kg,law_q025_kg,law_q975_kg,quadrature_order,q_at_reference,time_s,imu_csv_data_row,csv_data_row,exported_kinematic_acceleration_m_s2,status
robot_heldout_static_projection_mean,9.149175542328068,9.82961739113372,0.10916266938705507,0.10050108241271831,0.9307763647627416,0.9307763647627398,0.902440000048577,0.9598814622255573,2048,0.010953030799047001,,,,,
1-baseline_largest_acceleration,-9.14778805999079,-10.317110062040168,0.0948313250095056,0.13158510701588624,0.886661866063475,0.8866618660634737,0.8585882235680753,0.9158414319942868,2048,9.224429545379715,2.477394,631,,,
1-baseline_first_weak,0.1799368764010154,-0.10063694064016664,0.0948313250095056,0.13158510701588624,-1.7879803902663378,2.0799570312897946,0.07177162480710338,68.50059045370146,2048,3.1171597800807374,0.002113,3,,,
1-baseline_first_weak_opposite_sign,0.1799368764010154,-0.10063694064016664,0.0948313250095056,0.13158510701588624,-1.7879803902663378,2.0799570312897946,0.07177162480710338,68.50059045370146,2048,3.1171597800807374,0.002113,3,,,
1-baseline_middle_time,-7.774577255287326,-8.082473853040167,0.0948313250095056,0.13158510701588624,0.9619056487715049,0.9619056487715054,0.9244585685661802,1.0013205407241519,2048,2.380212077205746,3.134923,798,,,
robot_weak_force_sigma_x0.5,0.1799368764010154,-0.10063694064016664,0.0474156625047528,0.13158510701588624,-1.7879803902663378,2.3756378193047056,0.6333532419384849,72.7234174339585,2048,4.332577403147569,,,,,
robot_weak_force_sigma_x2.0,0.1799368764010154,-0.10063694064016664,0.1896626500190112,0.13158510701588624,-1.7879803902663378,1.6844013910962359,0.04493423137834755,60.37954274694917,2048,1.4688896991686788,,,,,
2-vibrations_largest_acceleration,-12.134661122181567,-13.609058982040168,0.0948313250095056,0.13158510701588624,0.8916605577355232,0.8916605577355234,0.8702306241057731,0.9137324250118956,4096,12.727355154705617,3.271815,833,,,
2-vibrations_first_weak,0.11818035744841637,-0.15098843859016664,0.0948313250095056,0.13158510701588624,-0.782711302613027,0.8107952035773167,0.01622874650074157,38.34445448663169,2048,2.788943652848037,0.000725,3,,,
2-vibrations_first_weak_opposite_sign,0.11818035744841637,-0.15098843859016664,0.0948313250095056,0.13158510701588624,-0.782711302613027,0.8107952035773167,0.01622874650074157,38.34445448663169,2048,2.788943652848037,0.000725,3,,,
3-vibrations-contact_largest_acceleration,-7.120689071021669,-17.74510995954017,0.0948313250095056,0.13158510701588624,0.40127613112892696,0.4012761311289263,0.38936281970622383,0.41335620596360084,4096,3693.286105185728,2.198726,561,,,
3-vibrations-contact_first_weak,-0.12525967567132135,0.002462637285333358,0.0948313250095056,0.13158510701588624,-50.86403767916858,1.2780772615481795,0.06688824676721192,32.752035971566485,2048,0.6767269020869733,0.180697,49,,,
3-vibrations-contact_first_weak_opposite_sign,-0.12525967567132135,0.002462637285333358,0.0948313250095056,0.13158510701588624,-50.86403767916858,1.2780772615481795,0.06688824676721192,32.752035971566485,2048,0.6767269020869733,0.180697,49,,,
cart_flat_bumper_t3.85,-6.1803333333333335,-22.9,0.0034318767136623345,0.02886751345948129,0.26988355167394473,0.2698835516739276,0.26913999303888103,0.2706344926069883,8192,,3.85,,78,-7.268,sampling/model diagnostic; not validated mass
cart_flat_bumper_t3.9,-0.47033333333333305,-5.0,0.0034318767136623345,0.02886751345948129,0.0940666666666666,0.09406666666666647,0.09236078361355597,0.09579679724930441,4096,,3.9,,79,-6.17,sampling/model diagnostic; not validated mass
cart_incline_bumper_t1.95,-14.570333333333332,-33.199999999999996,0.0034318767136623345,0.02886751345948129,0.43886546184738956,0.4388654618478679,0.43807885932073887,0.43966984628731565,16384,,1.95,,40,-11.288,sampling/model diagnostic; not validated mass
cart_incline_bumper_t2.0,-0.27033333333333304,-5.0,0.0034318767136623345,0.02886751345948129,0.05406666666666661,0.05406666666666647,0.05259457306129791,0.05555267586035194,4096,,2.0,,41,-9.595,sampling/model diagnostic; not validated mass
cart_incline_bumper_t4.85,-3.020333333333333,-8.0,0.0034318767136623345,0.02886751345948129,0.3775416666666666,0.3775416666666571,0.3747515826006007,0.38037382386600915,8192,,4.85,,98,-8.255,sampling/model diagnostic; not validated mass
cart_incline_bumper_t4.9,-6.500333333333333,-29.9,0.0034318767136623345,0.02886751345948129,0.21740245261984392,0.21740245261983343,0.21693255553867088,0.21787401888238972,16384,,4.9,,99,-8.723,sampling/model diagnostic; not validated mass
cart_incline_bumper_t7.4,-5.990333333333333,-18.7,0.0034318767136623345,0.02886751345948129,0.3203386809269162,0.32033868092691814,0.3193011735437888,0.32138228463841445,16384,,7.4,,149,-7.619,sampling/model diagnostic; not validated mass
cart_incline_bumper_t7.45,-2.580333333333333,-15.8,0.0034318767136623345,0.02886751345948129,0.1633122362869198,0.1633122362869275,0.1625864841073865,0.16404244073989258,8192,,7.45,,150,-7.009,sampling/model diagnostic; not validated mass
cart_flat_weak_t1.5,-0.0003333333333330746,0.0,0.0034318767136623345,0.02886751345948129,,0.11944402837854712,0.004693037888680917,3.0400535919483502,2048,,,,,,
cart_flat_weak_t3.0,-0.010333333333333083,0.0,0.0034318767136623345,0.02886751345948129,,0.4487423182242246,0.10762345393036779,11.424628261353515,2048,,,,,,
cart_constructed_zero_control,0.0,0.0,0.0034318767136623345,0.02886751345948129,,0.1188836966675134,0.004670953163533832,3.025792132464773,2048,,,,,,
